Testset,Image feature,Mean error,Median error
300w,DAISY,0.093,0.065
300w,DSIFT,0.1,0.074
300w,HOG,0.074,0.039
300w,IGO,0.12,0.11
300w,Intensity values,0.12,0.11
300w-indoor,DAISY,0.083,0.042
300w-indoor,DSIFT,0.087,0.044
300w-indoor,HOG,0.061,0.035
300w-indoor,IGO,0.11,0.099
300w-indoor,Intensity values,0.12,0.11
300w-outdoor,DAISY,0.079,0.044
300w-outdoor,DSIFT,0.087,0.042
300w-outdoor,HOG,0.067,0.035
300w-outdoor,IGO,0.11,0.11
300w-outdoor,Intensity values,0.12,0.11
lfpw,DAISY,0.035,0.023
lfpw,DSIFT,0.042,0.025
lfpw,HOG,0.03,0.022
lfpw,IGO,0.072,0.052
lfpw,Intensity values,0.075,0.052
